Experience,Skill_Level,Salary
0.5,2,279152
1.0,4,461984
1.5,2,389453
2.0,5,688179
2.5,3,614144
3.0,2,645645
3.5,4,843878
4.0,3,790226
4.5,5,1115000
5.0,3,968300
5.5,4,1192811
6.0,2,1067156
6.5,5,1350545
7.0,1,1126903
7.5,2,1329741
8.0,3,1412842
8.5,5,1718034
9.0,4,1648319
9.5,2,1552907
10.0,4,1835876
10.5,2,1743089
11.0,4,1979370
11.5,3,1991611
12.0,4,2101343
12.5,5,2309490
13.0,3,2234103
13.5,3,2252045
14.0,1,2200048
14.5,2,2373431
15.0,3,2494955
15.5,5,2675354
16.0,2,2566632
16.5,1,2588229
17.0,2,2738656
17.5,1,2662899
18.0,3,2942630
18.5,1,2846204
19.0,5,3288064
19.5,3,3205384
20.0,2,3146448
